student_id,attendance,previous_percentage,assignment_score,quiz_score,internal_marks,study_hours,completed_assignments,completed_quizzes,performance_category
STU1000,76.0,68.9,66.4,55.5,64.7,14.2,8,3,Average Performance
STU1001,69.1,80.9,71.6,74.4,76.7,12.7,7,5,Average Performance
STU1002,76.2,79.7,65.5,74.6,66.6,21.0,8,5,Average Performance
STU1003,69.5,75.8,53.7,51.6,51.9,9.2,6,3,At Risk
STU1004,88.0,85.1,77.4,89.7,82.4,25.7,9,5,High Performance
STU1005,63.3,51.6,60.2,62.4,62.5,14.6,7,4,Average Performance
STU1006,76.7,86.5,84.3,91.1,84.0,13.7,10,4,High Performance
STU1007,71.8,73.8,60.4,56.2,64.4,12.2,6,4,Average Performance
STU1008,66.0,66.6,59.2,62.3,68.5,20.9,6,2,Average Performance
STU1009,89.1,79.6,73.2,89.2,84.2,16.4,8,5,High Performance
STU1010,89.0,98.0,88.1,70.6,88.4,20.3,9,3,High Performance
STU1011,57.1,64.3,53.7,59.8,60.2,13.9,6,4,Average Performance
STU1012,77.8,83.3,73.1,70.1,68.6,21.3,7,4,Average Performance
STU1013,73.8,75.0,62.7,72.6,75.7,16.6,6,4,High Performance
STU1014,68.5,56.2,58.1,63.5,59.2,10.0,6,3,At Risk
STU1015,89.4,80.5,82.6,78.3,83.9,24.6,8,4,High Performance
STU1016,56.6,66.6,63.9,63.7,70.4,19.9,7,4,Average Performance
STU1017,76.9,74.2,66.4,53.7,66.1,20.6,7,2,Average Performance
STU1018,72.5,72.9,67.3,62.1,60.6,15.8,7,5,Average Performance
STU1019,79.1,76.4,63.2,66.8,63.7,12.9,6,4,Average Performance
STU1020,73.8,71.8,65.2,67.3,72.7,11.7,7,3,Average Performance
STU1021,78.8,77.0,76.3,61.2,72.1,21.9,8,3,Average Performance
STU1022,64.5,68.9,58.9,52.9,58.4,14.0,7,4,Average Performance
STU1023,74.7,69.7,69.2,67.4,74.2,23.7,6,3,Average Performance
STU1024,79.2,62.5,60.4,54.4,64.0,17.7,7,3,Average Performance
STU1025,75.4,79.0,65.3,68.3,69.8,10.2,8,5,Average Performance
STU1026,90.9,82.0,67.4,70.2,70.6,22.3,8,4,High Performance
STU1027,70.3,70.4,60.5,50.1,57.9,10.2,9,3,At Risk
STU1028,70.4,67.6,63.7,61.8,69.1,14.4,8,4,Average Performance
STU1029,67.5,73.1,69.6,68.2,72.8,17.8,7,3,High Performance
STU1030,58.9,68.5,58.2,54.8,58.6,21.8,7,4,Average Performance
STU1031,63.3,64.8,61.7,56.2,66.7,27.6,5,4,Average Performance
STU1032,80.4,75.1,73.8,68.2,72.3,20.2,8,4,Average Performance
STU1033,65.7,65.9,41.0,55.1,47.9,9.9,5,3,At Risk
STU1034,53.4,70.0,59.8,54.3,54.7,12.9,7,4,Average Performance
STU1035,78.7,71.2,69.9,63.5,64.0,18.9,7,4,Average Performance
STU1036,75.0,81.7,67.9,65.5,68.4,16.1,8,3,Average Performance
STU1037,91.5,81.0,89.9,79.7,91.3,30.2,9,5,High Performance
STU1038,84.1,77.8,67.9,75.2,68.5,16.8,9,5,Average Performance
STU1039,70.4,61.0,56.2,49.1,56.1,13.6,6,2,At Risk
STU1040,59.7,62.9,48.8,41.3,46.2,12.7,7,2,At Risk
STU1041,68.6,72.7,60.2,73.0,67.1,17.3,8,4,Average Performance
STU1042,75.6,95.1,86.6,81.1,79.0,25.5,10,5,High Performance
STU1043,59.5,59.4,54.1,52.6,54.6,8.7,6,2,At Risk
STU1044,71.6,76.0,63.5,66.8,66.0,12.9,7,4,Average Performance
STU1045,71.7,76.2,60.7,73.7,71.9,12.9,6,5,Average Performance
STU1046,69.7,69.7,58.4,63.2,63.8,15.8,6,4,Average Performance
STU1047,84.0,82.6,82.2,76.3,75.3,23.0,9,4,High Performance
STU1048,81.3,78.4,77.1,77.1,82.7,21.3,8,3,High Performance
STU1049,60.9,64.7,53.5,46.2,54.2,18.3,5,3,Average Performance
STU1050,80.2,78.8,70.7,72.8,74.2,17.9,8,5,Average Performance
STU1051,83.7,82.3,86.9,80.6,82.4,21.5,10,4,High Performance
STU1052,67.2,74.2,63.1,63.2,63.6,11.2,8,4,Average Performance
STU1053,75.8,71.3,60.2,60.5,62.4,11.2,6,3,Average Performance
STU1054,85.2,90.4,91.7,89.5,90.8,23.7,10,4,High Performance
STU1055,66.0,60.7,59.0,56.2,52.1,15.5,6,4,Average Performance
STU1056,74.5,74.6,56.1,67.2,61.3,12.8,5,4,Average Performance
STU1057,81.3,74.0,69.2,60.2,67.7,18.0,7,3,Average Performance
STU1058,89.7,86.9,89.1,87.2,87.5,14.0,10,5,High Performance
STU1059,88.5,89.8,76.9,87.0,87.9,19.9,9,5,High Performance
STU1060,65.8,60.0,54.8,65.2,58.9,17.2,6,4,Average Performance
STU1061,87.6,85.9,77.9,68.5,74.6,23.1,8,3,High Performance
STU1062,68.9,73.4,79.6,53.2,66.5,18.5,9,3,Average Performance
STU1063,76.8,72.3,75.7,72.3,70.8,16.8,9,4,High Performance
STU1064,73.1,80.0,66.2,53.9,61.9,15.4,9,4,Average Performance
STU1065,84.1,82.1,81.2,82.4,85.6,18.1,9,5,High Performance
STU1066,61.1,57.9,50.0,55.6,50.2,13.1,6,3,At Risk
STU1067,54.9,66.6,50.2,55.2,57.5,13.9,5,3,At Risk
STU1068,83.3,90.0,91.5,91.8,83.0,23.2,10,4,High Performance
STU1069,80.7,79.4,65.2,84.7,73.8,16.3,7,5,Average Performance
STU1070,89.7,94.6,94.1,78.5,85.5,13.6,9,4,High Performance
STU1071,77.4,86.2,79.2,82.4,87.9,24.3,7,5,High Performance
STU1072,80.0,61.5,67.6,59.7,64.4,13.0,6,3,Average Performance
STU1073,79.2,81.7,76.6,73.7,68.8,16.8,8,5,Average Performance
STU1074,88.7,80.1,76.8,75.9,69.9,22.4,8,5,Average Performance
